iter	Accuracy	Logloss
537	0.87625	0.3048189087
538	0.87625	0.3047727966
539	0.87625	0.3047481384
540	0.87625	0.3046915588
541	0.876125	0.3045563965
542	0.87625	0.3045091858
543	0.87625	0.3044893799
544	0.876375	0.304447876
545	0.876375	0.3044015503
546	0.876375	0.3043936768
547	0.87625	0.3043678894
548	0.87625	0.304322052
549	0.87625	0.3043063965
550	0.876125	0.3042991943
551	0.876125	0.3042779541
552	0.876125	0.3042541199
553	0.87625	0.3042451172
554	0.876125	0.3042268677
555	0.876125	0.3041867676
556	0.87625	0.304102417
557	0.87625	0.3040759888
558	0.87625	0.3039741821
559	0.87625	0.3039586792
560	0.87625	0.3039555359
561	0.87625	0.3039146423
562	0.87625	0.3038861389
563	0.87625	0.3038488159
564	0.87625	0.3037573547
565	0.87625	0.3036939087
566	0.87625	0.3036611938
567	0.87625	0.3036494141
568	0.876375	0.3035379333
569	0.876375	0.3035283203
570	0.8765	0.3034936523
571	0.876625	0.3034775696
572	0.876625	0.3034021301
573	0.876625	0.3033875122
574	0.876625	0.3033830566
575	0.876375	0.3033354492
576	0.876375	0.303307312
577	0.876375	0.3032778931
578	0.876375	0.303164032
579	0.876375	0.3030672302
580	0.876375	0.3030639038
581	0.876375	0.3030501099
582	0.876375	0.3030274353
583	0.8765	0.3029779053
584	0.8765	0.3029672241
585	0.8765	0.302920929
586	0.8765	0.3029199524
587	0.876625	0.3026417847
588	0.8765	0.3025196838
589	0.876625	0.3024943237
590	0.876625	0.3024836426
591	0.87675	0.3023997192
592	0.87675	0.3023941956
593	0.876625	0.3023641968
594	0.8765	0.3023407898
595	0.8765	0.3023004456
596	0.8765	0.3022394714
597	0.876375	0.3021820068
598	0.8765	0.3020564575
599	0.8765	0.3020368958
600	0.876625	0.3019432373
601	0.876625	0.301855957
602	0.876625	0.3018552856
603	0.87675	0.3018126221
604	0.876625	0.3017969971
605	0.876625	0.3017579956
606	0.876625	0.3016980591
607	0.876625	0.3016833191
608	0.87675	0.3016586914
609	0.87675	0.3016346741
610	0.876625	0.3016177673
611	0.876625	0.3015713196
612	0.87675	0.3014873657
613	0.87675	0.3014769287
614	0.877	0.3013995361
615	0.877	0.3013936157
616	0.876875	0.3012834778
617	0.876875	0.3012780457
618	0.877	0.3012532959
619	0.877125	0.3011645203
620	0.877125	0.3011473999
621	0.877125	0.3011246338
622	0.877125	0.3011211853
623	0.877125	0.30104776
624	0.877375	0.3010262451
625	0.877375	0.3010205078
626	0.877375	0.3010001221
627	0.877375	0.3009920044
628	0.877375	0.30098349
629	0.877375	0.3009466248
630	0.877375	0.3008746338
631	0.877375	0.3008544922
632	0.87725	0.3008248901
633	0.87725	0.300817688
634	0.877375	0.3007783813
635	0.877375	0.3007440796
636	0.877375	0.3005874939
637	0.87725	0.300559845
638	0.877375	0.3005340576
639	0.877375	0.3005236511
640	0.8775	0.3004168091
641	0.877625	0.3002949219
642	0.877625	0.3002850647
643	0.877625	0.3002644348
644	0.877625	0.3002527771
645	0.87775	0.3002058411
646	0.87775	0.300184906
647	0.877625	0.3000952454
648	0.877625	0.3000829163
649	0.8775	0.3000777588
650	0.87775	0.3000400696
651	0.87775	0.3000305786
652	0.87775	0.29991745
653	0.877625	0.2998528137
654	0.877875	0.2998021851
655	0.877875	0.2997921448
656	0.877875	0.2997770996
657	0.877875	0.2997346497
658	0.878125	0.29966745
659	0.877875	0.2996508179
660	0.877875	0.299645813
661	0.877625	0.2996304321
662	0.87775	0.2996026917
663	0.87775	0.2995985718
664	0.878	0.2995300293
665	0.878	0.2994532471
